casesDif,vacDif,FIPS,location,POPESTIMATE2019,Median_Household_Income_2019
100.0,0.25999999999999995,12065,Florida-Jefferson,14280,"47,192"
40.0,0.15000000000000002,12067,Florida-Lafayette,8384,"45,480"
6460.0,0.36700000000000005,12069,Florida-Lake,366941,"57,660"
14847.0,0.382,12071,Florida-Lee,772268,"62,364"
3121.0,0.30599999999999994,12073,Florida-Leon,293866,"55,081"
740.0,0.22499999999999998,12075,Florida-Levy,41620,"41,405"
43.0,0.15100000000000002,12077,Florida-Liberty,8341,"44,236"
90.0,0.192,12079,Florida-Madison,18599,"37,919"
7603.0,0.377,12081,Florida-Manatee,402977,"64,151"
4460.0,0.32400000000000007,12083,Florida-Marion,365997,"49,079"
2115.0,0.383,12085,Florida-Martin,161212,"70,806"
90589.0,0.49399999999999994,12086,Florida-Miami-Dade,2711612,"54,991"
950.0,0.4770000000000001,12087,Florida-Monroe,73897,"67,528"
707.0,0.288,12089,Florida-Nassau,88583,"72,818"
2056.0,0.296,12091,Florida-Okaloosa,211411,"63,520"
680.0,0.249,12093,Florida-Okeechobee,42141,"45,225"
28964.0,0.40299999999999997,12095,Florida-Orange,1395371,"63,133"
9597.0,0.404,12097,Florida-Osceola,374170,"52,270"
9734.0,0.35,12101,Florida-Pasco,554032,"55,745"
13912.0,0.39599999999999996,12103,Florida-Pinellas,975367,"56,708"
14803.0,0.317,12105,Florida-Polk,724967,"51,817"
977.0,0.202,12107,Florida-Putnam,74309,"41,986"
5428.0,0.45199999999999996,12115,Florida-Sarasota,435006,"66,258"
8737.0,0.356,12117,Florida-Seminole,471791,"69,954"
1494.0,0.534,12119,Florida-Sumter,133772,"63,464"
303.0,0.16399999999999998,12121,Florida-Suwannee,44420,"49,453"
112.0,0.173,12123,Florida-Taylor,21537,"42,987"
138.0,0.16,12125,Florida-Union,15213,"50,893"
10492.0,0.35600000000000004,12127,Florida-Volusia,554065,"53,554"
395.0,0.212,12129,Florida-Wakulla,33636,"58,640"
64.0,0.247,12131,Florida-Walton,74127,"62,600"
117.0,0.151,12133,Florida-Washington,25647,"42,518"
127.0,0.185,13001,Georgia-Appling,18389,"43,821"
70.0,0.16799999999999998,13003,Georgia-Atkinson,8269,"38,581"
316.0,0.159,13005,Georgia-Bacon,11098,"41,807"
10.0,0.198,13007,Georgia-Baker,3047,"39,515"
316.0,0.24699999999999997,13009,Georgia-Baldwin,45006,"44,429"
144.0,0.166,13011,Georgia-Banks,19175,"53,481"
1270.0,0.24800000000000005,13013,Georgia-Barrow,83581,"68,924"
1953.0,0.21499999999999997,13015,Georgia-Bartow,107757,"60,254"
183.0,0.14800000000000002,13019,Georgia-Berrien,19377,"42,058"
1336.0,0.259,13021,Georgia-Bibb,153191,"43,066"
80.0,0.14300000000000002,13023,Georgia-Bleckley,12923,"48,115"
158.0,0.13199999999999998,13025,Georgia-Brantley,19124,"44,680"
116.0,0.22500000000000003,13027,Georgia-Brooks,15518,"39,554"
547.0,0.269,13029,Georgia-Bryan,39692,"79,296"
433.0,0.177,13031,Georgia-Bulloch,79718,"48,788"
239.0,0.25199999999999995,13033,Georgia-Burke,22497,"42,632"
533.0,0.194,13035,Georgia-Butts,24917,"47,410"
9.0,0.22400000000000003,13037,Georgia-Calhoun,6184,"34,960"
413.0,0.19399999999999995,13039,Georgia-Camden,54784,"58,552"
89.0,0.213,13043,Georgia-Candler,10835,"41,665"
1042.0,0.20799999999999996,13045,Georgia-Carroll,120115,"59,193"
1061.0,0.19799999999999995,13047,Georgia-Catoosa,67585,"60,753"
309.0,0.11699999999999999,13049,Georgia-Charlton,13277,"42,891"
2839.0,0.294,13051,Georgia-Chatham,290185,"57,122"
1446.0,0.12100000000000001,13053,Georgia-Chattahoochee,10991,"46,106"
305.0,0.174,13055,Georgia-Chattooga,24846,"41,561"
4223.0,0.30899999999999994,13057,Georgia-Cherokee,259475,"88,635"
1110.0,0.302,13059,Georgia-Clarke,128238,"41,036"
5.0,0.328,13061,Georgia-Clay,2901,"24,732"
4252.0,0.265,13063,Georgia-Clayton,292404,"50,737"
